,RMSE,MAE,QLIKE
gb_tree,0.002601248602195511,0.0018465559638320798,0.08971078859273178
ols,0.0026562172745920286,0.0018994129130213784,0.09435640025154834
har,0.0026668018283270696,0.0018989513698780308,0.09528298652909215
garch11,0.00270590781844572,0.0019670367285772056,0.09641141315466803
rolling50,0.0027211843117792857,0.0019261191533379146,0.09841911572201163
elastic_net_1,0.002909512457727821,0.00215205324538841,0.1149800953590095
elastic_net_1e-3,0.002909512457727821,0.00215205324538841,0.1149800953590095
ewma030,0.003252410532123426,0.0023214142621680177,0.13883019017260945
rolling5,0.003263874856183918,0.0023171695986587567,0.14621464168413673
naive,0.0035421068722263764,0.0025456707124950615,0.1988110235490999
ewma090,0.004430707863551133,0.003254944459870883,0.571100829666628
