,RMSE,MAE,QLIKE
gb_tree,0.002372076830709237,0.0015981606379143409,0.11443404532698108
ols,0.0021409024442788694,0.001572837362465885,0.11577758768764142
har,0.00216742147521526,0.0016022349747576408,0.12048046352449274
rolling50,0.0021840023075826607,0.0015607257121242081,0.12049292450951998
elastic_net_1,0.002418016164350926,0.0019104512958488238,0.1445177290668104
elastic_net_1e-3,0.002418016164350926,0.0019104512958488238,0.1445177290668104
garch11,0.0026095862912931173,0.0021471528987766072,0.15513973322150612
ewma030,0.002473746395269462,0.0018192540008866323,0.1556284825596055
rolling5,0.0025358918209780236,0.0018515579862857874,0.1777268949266207
naive,0.0026897570561462843,0.0020017695720152334,0.22062983457671054
ewma090,0.0032951272314053785,0.0024255496562654148,0.6604259375219799
