,RMSE,MAE,QLIKE
gb_tree,0.002330014183155839,0.0016914255338287415,0.1020174243631798
ols,0.002375873105710843,0.001726631569998859,0.10514357659416768
garch11,0.002455420109614277,0.00187182271789542,0.11067816631921508
har,0.002430834057946478,0.0017516596845311722,0.1113636234357408
rolling50,0.0024739620974962274,0.001773902859164914,0.11144849044379056
elastic_net_1,0.002601203949724641,0.0018683745572864315,0.12441004264396513
elastic_net_1e-3,0.002601203949724641,0.0018683745572864315,0.12441004264396513
ewma030,0.0028219983090949693,0.0020636632421016862,0.1530698904886112
rolling5,0.002786139091920987,0.0020515953130907177,0.15403694365360257
naive,0.0030713115687240637,0.002262631807031653,0.21855772101298124
ewma090,0.0038442369343904283,0.00284057713948225,0.6446614874619081
